time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes:mean,jvm:non-heap-bytes:mean,jvm:direct-bytes:mean,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics:name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics:name=TotalFetchRequestsPerSec
3900.0,1.0,82.0,2.6717196E8,3.00762048E8,4.78488168E8,5.3872051E7,0.05886681383370125,2.0,10755.0,5377.5,1.06954752E8,202.0
4000.0,1.0,82.0,2.80470336E8,3.00885504E8,4.78490519E8,5.3872051E7,0.05884949242312785,2.0,10755.0,5377.5,1.06954752E8,202.0
4100.0,1.0,82.0,2.66042848E8,3.00913008E8,5.08457715E8,5.3872051E7,0.05856515373352855,2.0,10755.0,5377.5,1.06954752E8,202.0
4200.0,1.0,87.0,2.6660432E8,3.00867768E8,5.08457715E8,5.3872051E7,0.0585051923358198,2.0,10755.0,5377.5,1.06954752E8,202.0
4300.0,1.0,87.0,2.74455816E8,3.0088012E8,5.34757135E8,5.3872051E7,0.058337951754513895,2.0,10755.0,5377.5,1.06954752E8,202.0
4400.0,1.0,87.0,2.80765952E8,3.00850416E8,5.49987731E8,5.3872051E7,0.05815813196080141,2.0,10755.0,5377.5,1.06954752E8,202.0
4500.0,1.0,87.0,2.9366236E8,3.00876928E8,5.49988344E8,5.3872051E7,0.08699686811274794,3.0,10755.0,5377.5,1.06954752E8,204.0
4600.0,1.0,87.0,2.8823852E8,3.0084988E8,5.49988344E8,5.3872051E7,0.08674029954316775,3.0,10755.0,5377.5,1.09051904E8,204.0
4700.0,1.0,87.0,3.21343496E8,2.99765664E8,5.51523813E8,1.07789186E8,0.11474140156622015,4.0,21519.0,5379.75,1.61480704E8,304.0
4800.0,1.0,153.0,3.35322056E8,2.9978928E8,5.56896077E8,1.07789186E8,0.11466574934067195,4.0,21519.0,5379.75,1.61480704E8,304.0
4900.0,2.0,181.0,2.86463944E8,2.99819544E8,5.56896077E8,1.07789186E8,0.11420413990007139,4.0,21519.0,5379.75,1.61480704E8,304.0
5000.0,2.0,181.0,2.869182E8,2.99889408E8,5.56896077E8,1.07789186E8,0.11401533506256592,4.0,21519.0,5379.75,1.61480704E8,304.0
5100.0,2.0,181.0,2.96154296E8,2.9991332E8,5.56896077E8,1.07789186E8,0.1136912713526419,4.0,21519.0,5379.75,1.61480704E8,304.0
5200.0,2.0,181.0,3.54993096E8,2.99998632E8,5.59461781E8,1.07789186E8,0.14166713889046298,5.0,21519.0,5379.75,1.63577856E8,306.0
5300.0,2.0,181.0,3.42738552E8,3.00139912E8,5.60703485E8,1.61706072E8,0.16955379094017578,6.0,32283.0,5380.5,1.63577856E8,306.0
5400.0,2.0,310.0,3.41084016E8,3.00158544E8,6.17210193E8,1.61706072E8,0.16810489745601256,6.0,32283.0,5380.5,2.16006656E8,406.0
5500.0,2.0,310.0,3.41784416E8,3.00165792E8,6.33568836E8,1.61706072E8,0.16754160616553113,6.0,32283.0,5380.5,2.16006656E8,406.0
5600.0,3.0,310.0,2.89820392E8,3.00200688E8,6.33568836E8,1.61706072E8,0.16701926288831978,6.0,32283.0,5380.5,2.16006656E8,406.0
5700.0,3.0,310.0,2.94438784E8,3.00229584E8,6.33568836E8,1.61706072E8,0.16674540755356698,6.0,32283.0,5380.5,2.16006656E8,406.0
5800.0,3.0,310.0,2.9887388E8,3.00254656E8,6.4448896E8,1.61706072E8,0.16628329130061248,6.0,32283.0,5380.5,2.16006656E8,406.0
5900.0,3.0,312.0,2.8909496E8,3.0031976E8,6.4448896E8,1.61706072E8,0.16581914658412558,6.0,32283.0,5380.5,2.16006656E8,406.0
6000.0,3.0,312.0,2.95002248E8,3.00356624E8,6.68348841E8,1.61706072E8,0.16536670065871067,6.0,32283.0,5380.5,2.16006656E8,406.0
6100.0,3.0,312.0,3.06610784E8,3.00375352E8,6.84037909E8,1.61706072E8,0.19234468166955182,7.0,32283.0,5380.5,2.16006656E8,406.0
6200.0,3.0,312.0,3.50340192E8,3.004646E8,6.84037909E8,1.61706072E8,0.19148179555215142,7.0,32283.0,5380.5,2.18103808E8,408.0
6300.0,3.0,312.0,3.02476968E8,3.00559384E8,6.84037909E8,1.61706072E8,0.19109497420217847,7.0,32283.0,5380.5,2.18103808E8,408.0
6400.0,3.0,312.0,3.42506592E8,3.0060728E8,6.84037909E8,1.61706072E8,0.19081888561770802,7.0,32283.0,5380.5,2.18103808E8,408.0
6500.0,3.0,312.0,3.40267888E8,3.006672E8,6.84037909E8,2.15622948E8,0.21697857336588014,8.0,43047.0,5380.875,2.70532608E8,508.0
6600.0,3.0,381.0,3.4705532E8,3.00682144E8,6.84037909E8,2.15622948E8,0.21654395842355997,8.0,43047.0,5380.875,2.70532608E8,508.0
6700.0,4.0,381.0,2.40794312E8,3.0064872E8,6.84037909E8,2.15622948E8,0.21602354656657574,8.0,43047.0,5380.875,2.70532608E8,508.0
6800.0,4.0,381.0,2.45992656E8,3.0071132E8,6.93276117E8,2.15622948E8,0.21573227624517974,8.0,43047.0,5380.875,2.70532608E8,508.0
6900.0,4.0,385.0,2.35220864E8,3.00710296E8,6.93276117E8,2.15622948E8,0.2151520856305301,8.0,43047.0,5380.875,2.70532608E8,508.0
7000.0,4.0,385.0,2.64097664E8,3.00730128E8,6.93276639E8,2.15622948E8,0.24134509667211929,9.0,43047.0,5380.875,2.7262976E8,510.0
7100.0,4.0,385.0,2.41116032E8,3.007658E8,6.93276639E8,2.15622948E8,0.2406867595539272,9.0,43047.0,5380.875,2.7262976E8,510.0
7200.0,4.0,511.0,2.88166696E8,3.008156E8,6.95767939E8,2.69539825E8,0.2654209576388151,10.0,53811.0,5381.1,3.2505856E8,610.0
7300.0,5.0,511.0,2.97388072E8,3.008156E8,6.95767939E8,2.69539825E8,0.2653716530000265,10.0,53811.0,5381.1,3.2505856E8,610.0
7400.0,5.0,518.0,2.85861448E8,3.008156E8,6.95767939E8,2.69539825E8,0.2645712622694923,10.0,53811.0,5381.1,3.2505856E8,610.0
7500.0,5.0,518.0,2.91645736E8,3.0082592E8,6.95767939E8,2.69539825E8,0.2637339451960862,10.0,53811.0,5381.1,3.2505856E8,610.0
7600.0,5.0,518.0,2.9310564E8,3.0083088E8,6.95767939E8,2.69539825E8,0.262894999737105,10.0,53811.0,5381.1,3.2505856E8,610.0
7700.0,5.0,518.0,2.95467352E8,3.00859168E8,6.95767939E8,2.69539825E8,0.2625774603508035,10.0,53811.0,5381.1,3.2505856E8,610.0
7800.0,5.0,518.0,3.52338032E8,3.008948E8,6.9576848E8,2.69539825E8,0.28792042926318545,11.0,53811.0,5381.1,3.27155712E8,612.0
7900.0,5.0,518.0,3.11124976E8,3.00931264E8,6.9576848E8,2.69539825E8,0.2871837715061484,11.0,53811.0,5381.1,3.27155712E8,612.0
8000.0,5.0,608.0,3.4048096E8,3.0097408E8,6.95771403E8,3.23456701E8,0.31139713514635664,12.0,64575.0,5381.25,3.79584512E8,712.0
8100.0,6.0,608.0,2.398424E8,3.01020408E8,6.95771403E8,3.23456701E8,0.3110178057693803,12.0,64575.0,5381.25,3.79584512E8,712.0
8200.0,6.0,608.0,2.47700664E8,3.0107412E8,7.05532131E8,3.23456701E8,0.3102057698273188,12.0,64575.0,5381.25,3.79584512E8,712.0
8300.0,6.0,612.0,2.35996712E8,3.01090544E8,7.05532131E8,3.23456701E8,0.30941391846943245,12.0,64575.0,5381.25,3.79584512E8,712.0
8400.0,6.0,612.0,2.4463492E8,3.01039144E8,7.05532131E8,3.23456701E8,0.30861022528546445,12.0,64575.0,5381.25,3.79584512E8,712.0
8500.0,6.0,612.0,2.47913504E8,3.01059816E8,7.05532131E8,3.23456701E8,0.30760554715336696,12.0,64575.0,5381.25,3.79584512E8,712.0
8600.0,6.0,612.0,2.52983448E8,3.00936512E8,7.05532131E8,3.23456701E8,0.3324978259757532,13.0,64575.0,5381.25,3.79584512E8,712.0
8700.0,6.0,612.0,2.58160232E8,3.00961984E8,7.05532653E8,3.23456701E8,0.3317003470095938,13.0,64575.0,5381.25,3.81681664E8,714.0
8800.0,6.0,612.0,2.73365424E8,3.00970344E8,7.05532653E8,3.23456701E8,0.330856153924463,13.0,64575.0,5381.25,3.81681664E8,714.0
8900.0,6.0,686.0,2.8855072E8,3.00979496E8,7.0573196E8,3.77373577E8,0.35465484483850535,14.0,75339.0,5381.357142857143,4.34110464E8,814.0
9000.0,7.0,686.0,2.33449392E8,3.0098664E8,7.08250646E8,3.77373577E8,0.3534817956875221,14.0,75339.0,5381.357142857143,4.34110464E8,814.0
9100.0,7.0,695.0,2.42413976E8,3.01044816E8,7.08250646E8,3.77373577E8,0.3526004281576628,14.0,75339.0,5381.357142857143,4.34110464E8,814.0
9200.0,7.0,695.0,2.50179864E8,3.01080112E8,7.08250646E8,3.77373577E8,0.37657218888860994,15.0,75339.0,5381.357142857143,4.34110464E8,814.0
9300.0,7.0,695.0,3.00264008E8,3.01102904E8,7.08250646E8,3.77373577E8,0.37606237621280114,15.0,75339.0,5381.357142857143,4.36207616E8,816.0
9400.0,7.0,695.0,2.8151096E8,3.01206472E8,7.08250646E8,3.77373577E8,0.37511253376012804,15.0,75339.0,5381.357142857143,4.36207616E8,816.0
9500.0,7.0,695.0,2.86972432E8,3.01254824E8,7.08250646E8,4.31290453E8,0.3991020204539785,16.0,86103.0,5381.4375,4.36207616E8,816.0
9600.0,7.0,779.0,2.90020384E8,3.01278576E8,7.30487239E8,4.31290453E8,0.3971011615208974,16.0,86103.0,5381.4375,4.88636416E8,916.0
9700.0,8.0,779.0,2.85756568E8,3.01291984E8,7.43314951E8,4.31290453E8,0.39585343526559297,16.0,86103.0,5381.4375,4.88636416E8,916.0
9800.0,8.0,786.0,2.87785696E8,3.01315056E8,7.43314951E8,4.31290453E8,0.39474008832309476,16.0,86103.0,5381.4375,4.88636416E8,916.0
9900.0,8.0,786.0,3.01433904E8,3.01329488E8,7.43314951E8,4.31290453E8,0.3942537515708548,16.0,86103.0,5381.4375,4.88636416E8,916.0
10000.0,8.0,786.0,2.89057864E8,3.01349552E8,7.43314951E8,4.31290453E8,0.4177930695502581,17.0,86103.0,5381.4375,4.90733568E8,918.0
10100.0,8.0,786.0,3.0139028E8,3.0147444E8,7.43314951E8,4.31290453E8,0.4168096895993723,17.0,86103.0,5381.4375,4.90733568E8,918.0
10200.0,8.0,861.0,3.40563344E8,3.01461736E8,7.69793144E8,4.85207329E8,0.4387996392091855,18.0,96867.0,5381.5,5.43162368E8,1018.0
10300.0,9.0,861.0,2.5010572E8,3.01453224E8,7.69793144E8,4.85207329E8,0.4376154818632695,18.0,96867.0,5381.5,5.43162368E8,1018.0
10400.0,9.0,869.0,2.3469304E8,3.01453224E8,7.69793144E8,4.85207329E8,0.4369674459252786,18.0,96867.0,5381.5,5.43162368E8,1018.0
10500.0,9.0,869.0,2.4103876E8,3.01451928E8,7.69793144E8,4.85207329E8,0.4360148245040331,18.0,96867.0,5381.5,5.43162368E8,1018.0
10600.0,9.0,869.0,2.4291336E8,3.01453344E8,7.69793144E8,4.85207329E8,0.45899263196038165,19.0,96867.0,5381.5,5.4525952E8,1020.0
10700.0,9.0,869.0,2.88118872E8,3.01437728E8,7.69793144E8,5.39119197E8,0.4797888928871296,20.0,107630.0,5381.5,5.9768832E8,1120.0
10800.0,9.0,998.0,2.43109784E8,3.01437728E8,7.69793144E8,5.39119197E8,0.4783201396694808,20.0,107630.0,5381.5,5.9768832E8,1120.0
10900.0,10.0,1002.0,2.33362408E8,3.00901984E8,7.69793144E8,5.39119197E8,0.4770650955322854,20.0,107630.0,5381.5,5.9768832E8,1120.0
11000.0,10.0,1002.0,2.3997328E8,3.00919416E8,7.69793144E8,5.39119197E8,0.4995955654945996,21.0,107630.0,5381.5,5.9768832E8,1120.0
11100.0,10.0,1002.0,2.36968944E8,3.0092332E8,7.69793144E8,5.39119197E8,0.4989545713742634,21.0,107630.0,5381.5,5.99785472E8,1122.0
11200.0,10.0,1002.0,2.48380496E8,3.00927904E8,7.69793144E8,5.39119197E8,0.49774828158331363,21.0,107630.0,5381.5,5.99785472E8,1122.0
11300.0,10.0,1002.0,2.93630496E8,3.00928672E8,7.69795367E8,5.93016037E8,0.518183531185227,22.0,118390.0,5381.363636363636,6.52214272E8,1222.0
11400.0,10.0,1094.0,2.90958E8,3.00928672E8,7.79307786E8,5.93016037E8,0.5175131142527816,22.0,118390.0,5381.363636363636,6.52214272E8,1222.0
11500.0,11.0,1094.0,2.39103896E8,3.0093296E8,8.23162525E8,5.93016037E8,0.5159111694768191,22.0,118390.0,5381.363636363636,6.52214272E8,1222.0
11600.0,11.0,1094.0,2.39592208E8,3.0093296E8,8.23162525E8,5.93016037E8,0.5154035375424622,22.0,118390.0,5381.363636363636,6.52214272E8,1222.0
11700.0,11.0,1094.0,2.46342336E8,3.00937248E8,8.23162525E8,5.93016037E8,0.5142229390178342,22.0,118390.0,5381.363636363636,6.52214272E8,1222.0
11800.0,11.0,1106.0,2.33408168E8,3.00938144E8,8.23162525E8,5.93016037E8,0.512844421651359,22.0,118390.0,5381.363636363636,6.52214272E8,1222.0
11900.0,11.0,1106.0,2.38460408E8,3.00969424E8,8.23632892E8,5.93016037E8,0.5114494943624317,22.0,118390.0,5381.363636363636,6.52214272E8,1222.0
12000.0,11.0,1106.0,2.51241736E8,3.00973624E8,8.23632892E8,5.93016037E8,0.5337169907643755,23.0,118390.0,5381.363636363636,6.52214272E8,1222.0
