time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes,jvm:non-heap-bytes,jvm:direct-bytes,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics-name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics-name=TotalFetchRequestsPerSec
3700.0,8.0,616.0,3.53558224E8,3.20587736E8,5.24196223E8,3.4201506E7,0.11872959335114278,4.0,6828.0,1707.0,1.61480704E8,304.0
3800.0,8.0,616.0,3.63581704E8,3.2068816E8,5.67053118E8,3.4201506E7,0.11837821840781297,4.0,6828.0,1707.0,1.61480704E8,304.0
3900.0,8.0,616.0,4.04761176E8,3.20791624E8,5.6705364E8,3.4201506E7,0.14753614635585718,5.0,6828.0,1707.0,1.63577856E8,306.0
4000.0,8.0,681.0,4.03937088E8,3.20920232E8,6.19369368E8,5.631126E7,0.17589118198874296,6.0,11242.0,1873.6666666666667,2.16006656E8,406.0
4100.0,8.0,681.0,4.017892E8,3.21024672E8,6.19369368E8,5.631126E7,0.17527971721538954,6.0,11242.0,1873.6666666666667,2.16006656E8,406.0
4200.0,9.0,681.0,2.6542152E8,3.2103796E8,6.19369368E8,5.631126E7,0.17498323077371752,6.0,11242.0,1873.6666666666667,2.16006656E8,406.0
4300.0,9.0,681.0,2.66897744E8,3.21118352E8,6.19369533E8,5.631126E7,0.17447439588240424,6.0,11242.0,1873.6666666666667,2.16006656E8,406.0
4400.0,9.0,681.0,2.76980992E8,3.2113716E8,6.19369533E8,5.631126E7,0.1739634676717889,6.0,11242.0,1873.6666666666667,2.16006656E8,406.0
4500.0,9.0,681.0,3.1212572E8,3.21181984E8,6.19566083E8,5.631126E7,0.20237062734894476,7.0,11242.0,1873.6666666666667,2.18103808E8,408.0
4600.0,9.0,684.0,3.18039328E8,3.213828E8,6.4104774E8,7.5916515E7,0.2302158273381295,8.0,15156.0,1894.5,2.70532608E8,508.0
4700.0,9.0,684.0,3.32504624E8,3.21384912E8,6.4104774E8,7.5916515E7,0.22995113538373096,8.0,15156.0,1894.5,2.70532608E8,508.0
4800.0,9.0,684.0,3.19565912E8,3.21410792E8,6.41048353E8,7.5916515E7,0.25793139025019346,9.0,15156.0,1894.5,2.7262976E8,510.0
4900.0,9.0,750.0,3.71700376E8,3.21433304E8,6.41050663E8,1.00530775E8,0.28520905823968973,10.0,20070.0,2007.0,3.2505856E8,610.0
